Scrambling solved cube with: ['B', 'R', 'D inverse']
Scrambling solved cube with: ['B inverse', 'F inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'F', 'B']
Scrambling solved cube with: ['B inverse', 'F inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'F', 'B']
Scrambling solved cube with: ['B inverse', 'F inverse', 'F']
*** SOLVED ***
Moves to solve: ['B']
Scrambling solved cube with: ['B inverse', 'F inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'F', 'B']
Scrambling solved cube with: ['B inverse', 'F inverse', 'B']
*** SOLVED ***
Moves to solve: ['F']
Scrambling solved cube with: ['B inverse', 'F inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'B', 'F']
Scrambling solved cube with: ['B inverse', 'B', 'L']
*** SOLVED ***
Moves to solve: ['L inverse']
Scrambling solved cube with: ['B inverse', 'B', 'L inverse']
*** SOLVED ***
Moves to solve: ['L']
Scrambling solved cube with: ['B inverse', 'B', 'R']
*** SOLVED ***
Moves to solve: ['R inverse']
Scrambling solved cube with: ['B inverse', 'B', 'R inverse']
*** SOLVED ***
Moves to solve: ['R']
Scrambling solved cube with: ['B inverse', 'B', 'U']
*** SOLVED ***
Moves to solve: ['U inverse']
Scrambling solved cube with: ['B inverse', 'B', 'U inverse']
*** SOLVED ***
Moves to solve: ['U']
Scrambling solved cube with: ['B inverse', 'B', 'D']
*** SOLVED ***
Moves to solve: ['D inverse']
Scrambling solved cube with: ['B inverse', 'B', 'D inverse']
*** SOLVED ***
Moves to solve: ['D']
Scrambling solved cube with: ['B inverse', 'B', 'F']
*** SOLVED ***
Moves to solve: ['F inverse']
Scrambling solved cube with: ['B inverse', 'B', 'F inverse']
*** SOLVED ***
Moves to solve: ['F']
Scrambling solved cube with: ['B inverse', 'B', 'B']
*** SOLVED ***
Moves to solve: ['B inverse']
Scrambling solved cube with: ['B inverse', 'B', 'B inverse']
*** SOLVED ***
Moves to solve: ['B']
Scrambling solved cube with: ['B inverse', 'B inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'B', 'B']
Scrambling solved cube with: ['B inverse', 'B inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'B', 'B']
Scrambling solved cube with: ['B inverse', 'B inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'B', 'B']
Scrambling solved cube with: ['B inverse', 'B inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'B', 'B']
Scrambling solved cube with: ['B inverse', 'B inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'B', 'B']
Scrambling solved cube with: ['B inverse', 'B inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'B', 'B']
Scrambling solved cube with: ['B inverse', 'B inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'B', 'B']
Scrambling solved cube with: ['B inverse', 'B inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'B', 'B']
Scrambling solved cube with: ['B inverse', 'B inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'B', 'B']
Scrambling solved cube with: ['B inverse', 'B inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'B', 'B']
Scrambling solved cube with: ['B inverse', 'B inverse', 'B']
*** SOLVED ***
Moves to solve: ['B']
Scrambling solved cube with: ['B inverse', 'B inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'B', 'B']
Scrambling solved cube with: ['L', 'L', 'L', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'L']
Scrambling solved cube with: ['L', 'L', 'L', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'L inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'L inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'L inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'L inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'L inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'L inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'L inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse', 'L inverse', 'R inverse']
Scrambling solved cube with: ['L', 'L', 'R', 'L inverse']
*** SOLVED ***
Moves to solve: ['R inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'R inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R', 'R inverse']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'R inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'R inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'R inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'R inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'R inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'R inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'R inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'R inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse', 'L inverse', 'R']
Scrambling solved cube with: ['L', 'L', 'R inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['R', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R inverse', 'R']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'R', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'R', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'R', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'R', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'R', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'R', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'R', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'R', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'R inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'R', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'U inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'U inverse', 'L', 'L']
Scrambling solved cube with: ['L', 'L', 'U', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'U inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'U inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'U inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U', 'U inverse']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'U inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'U inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'U inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'U inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'U inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'U inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'U', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'U', 'L', 'L']
Scrambling solved cube with: ['L', 'L', 'U inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'U', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'U', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U inverse', 'U']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'U', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'U', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'U', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'U', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'U', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'U', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'U inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'U', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'D inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'D inverse', 'L', 'L']
Scrambling solved cube with: ['L', 'L', 'D', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'D inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'D inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'D inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'D inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'D inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D', 'D inverse']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'D inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'D inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'D inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'D inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'D', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'D', 'L', 'L']
Scrambling solved cube with: ['L', 'L', 'D inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'D', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'D', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'D', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'D', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D inverse', 'D']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'D', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'D', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'D', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'D', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'D inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'D', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'F inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'F inverse', 'L', 'L']
Scrambling solved cube with: ['L', 'L', 'F', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'F inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'F inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'F inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'F inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'F inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'F inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'F inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F', 'F inverse']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'F inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'F inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'F', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'F', 'L', 'L']
Scrambling solved cube with: ['L', 'L', 'F inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'F', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'F', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'F', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'F', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'F', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'F', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F inverse', 'F']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'F', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'F', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'F inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'F', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'B', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'B inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'B', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'B inverse', 'L', 'L']
Scrambling solved cube with: ['L', 'L', 'B', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'B inverse', 'L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'L', 'B', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'B inverse', 'L inverse', 'L inverse']
